antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,Week of the Year
frozenset({'Google Phone'}),frozenset({'USB-C Charging Cable'}),0.03326996197718631,0.1326045627376426,0.006178707224334601,0.18571428571428572,1.4005120327700973,0.001766958464051815,1.0652224668134214,0.29581726041903034,3
frozenset({'USB-C Charging Cable'}),frozenset({'Google Phone'}),0.1326045627376426,0.03326996197718631,0.006178707224334601,0.04659498207885304,1.400512032770097,0.001766958464051815,1.0139762428885903,0.3296944151738673,3
frozenset({'Google Phone'}),frozenset({'Wired Headphones'}),0.03326996197718631,0.1112167300380228,0.004752851711026616,0.14285714285714285,1.2844932844932846,0.0010526753314346023,1.03691381495564,0.22910521140609638,3
frozenset({'Wired Headphones'}),frozenset({'Google Phone'}),0.1112167300380228,0.03326996197718631,0.004752851711026616,0.042735042735042736,1.2844932844932846,0.0010526753314346023,1.0098876290059748,0.24919786096256688,3
frozenset({'Lightning Charging Cable'}),frozenset({'iPhone'}),0.10646387832699619,0.03136882129277566,0.0042775665399239545,0.04017857142857143,1.2808441558441561,0.0009379201665485988,1.0091785303740384,0.24539007092198592,3
frozenset({'iPhone'}),frozenset({'Lightning Charging Cable'}),0.03136882129277566,0.10646387832699619,0.0042775665399239545,0.13636363636363638,1.2808441558441561,0.0009379201665485988,1.034620772463478,0.22636571802420682,3
frozenset({'USB-C Charging Cable'}),frozenset({'Vareebadd Phone'}),0.1326045627376426,0.016634980988593156,0.002376425855513308,0.017921146953405017,1.0773169482846903,0.00017055147537191513,1.0013096361466514,0.08273972602739725,3
frozenset({'Vareebadd Phone'}),frozenset({'USB-C Charging Cable'}),0.016634980988593156,0.1326045627376426,0.002376425855513308,0.14285714285714285,1.07731694828469,0.00017055147537191513,1.0119613434727501,0.07298211696471725,3
frozenset({'Wired Headphones'}),frozenset({'Vareebadd Phone'}),0.1112167300380228,0.016634980988593156,0.0019011406844106464,0.017094017094017096,1.0275946275946277,5.105249461463961e-05,1.00046701934204,0.03021390374331557,3
frozenset({'Vareebadd Phone'}),frozenset({'Wired Headphones'}),0.016634980988593156,0.1112167300380228,0.0019011406844106464,0.11428571428571428,1.0275946275946277,5.105249461463961e-05,1.0034649822151356,0.027307878202030022,3
"frozenset({'USB-C Charging Cable', 'Wired Headphones'})",frozenset({'Vareebadd Phone'}),0.0028517110266159697,0.016634980988593156,0.0014258555133079848,0.5,30.057142857142857,0.0013784173545952666,1.9667300380228137,0.9694947569113441,3
"frozenset({'USB-C Charging Cable', 'Vareebadd Phone'})",frozenset({'Wired Headphones'}),0.002376425855513308,0.1112167300380228,0.0014258555133079848,0.6000000000000001,5.394871794871796,0.0011615572004799839,2.2219581749049433,0.816579323487375,3
"frozenset({'Wired Headphones', 'Vareebadd Phone'})",frozenset({'USB-C Charging Cable'}),0.0019011406844106464,0.1326045627376426,0.0014258555133079848,0.75,5.655913978494623,0.0011737555841489686,3.4695817490494294,0.8247619047619048,3
frozenset({'USB-C Charging Cable'}),"frozenset({'Wired Headphones', 'Vareebadd Phone'})",0.1326045627376426,0.0019011406844106464,0.0014258555133079848,0.01075268817204301,5.655913978494623,0.0011737555841489686,1.008947759960324,0.9490410958904111,3
frozenset({'Wired Headphones'}),"frozenset({'USB-C Charging Cable', 'Vareebadd Phone'})",0.1112167300380228,0.002376425855513308,0.0014258555133079848,0.012820512820512822,5.394871794871795,0.0011615572004799839,1.0105797244580514,0.9165775401069519,3
frozenset({'Vareebadd Phone'}),"frozenset({'USB-C Charging Cable', 'Wired Headphones'})",0.016634980988593156,0.0028517110266159697,0.0014258555133079848,0.08571428571428572,30.057142857142857,0.0013784173545952666,1.0906309410646389,0.9830836152730787,3
