antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,Week of the Year
frozenset({'Google Phone'}),frozenset({'USB-C Charging Cable'}),0.036016949152542374,0.1359463276836158,0.007415254237288136,0.20588235294117646,1.5144385026737968,0.0025188822656324814,1.0880675873613725,0.3523809523809524,6
frozenset({'USB-C Charging Cable'}),frozenset({'Google Phone'}),0.1359463276836158,0.036016949152542374,0.007415254237288136,0.05454545454545455,1.5144385026737968,0.0025188822656324814,1.0195974576271187,0.39313445034736416,6
frozenset({'Lightning Charging Cable'}),frozenset({'iPhone'}),0.11546610169491525,0.042725988700564974,0.006002824858757062,0.051987767584097865,1.2167715520509517,0.001069421502441827,1.0097696828868234,0.2014089468122578,6
frozenset({'iPhone'}),frozenset({'Lightning Charging Cable'}),0.042725988700564974,0.11546610169491525,0.006002824858757062,0.14049586776859505,1.2167715520509517,0.001069421502441827,1.029121170143416,0.18610454141080995,6
frozenset({'USB-C Charging Cable'}),frozenset({'Vareebadd Phone'}),0.1359463276836158,0.010240112994350282,0.00211864406779661,0.015584415584415586,1.5218987908643085,0.0007265383111494145,1.0054289089635229,0.3968805339871953,6
frozenset({'Vareebadd Phone'}),frozenset({'USB-C Charging Cable'}),0.010240112994350282,0.1359463276836158,0.00211864406779661,0.20689655172413796,1.5218987908643085,0.0007265383111494145,1.0894589781380495,0.34647401593530747,6
frozenset({'Wired Headphones'}),frozenset({'Vareebadd Phone'}),0.10204802259887005,0.010240112994350282,0.001059322033898305,0.010380622837370243,1.0137215129459494,1.4338751635864684e-05,1.0001419837224923,0.015074059509765526,6
frozenset({'Vareebadd Phone'}),frozenset({'Wired Headphones'}),0.010240112994350282,0.10204802259887005,0.001059322033898305,0.10344827586206898,1.0137215129459494,1.4338751635864684e-05,1.0015618209474142,0.0136758235224166,6
"frozenset({'Apple Airpods Headphones', 'Lightning Charging Cable'})",frozenset({'iPhone'}),0.0017655367231638418,0.042725988700564974,0.001059322033898305,0.6,14.042975206611569,0.0009838877318139743,2.3931850282485874,0.9304327319891523,6
"frozenset({'Apple Airpods Headphones', 'iPhone'})",frozenset({'Lightning Charging Cable'}),0.0031779661016949155,0.11546610169491525,0.001059322033898305,0.3333333333333333,2.8868501529051986,0.0006923746768170066,1.326800847457627,0.6556854410201913,6
"frozenset({'Lightning Charging Cable', 'iPhone'})",frozenset({'Apple Airpods Headphones'}),0.006002824858757062,0.08686440677966102,0.001059322033898305,0.1764705882352941,2.031563845050215,0.0005378902135401704,1.1088075060532687,0.5108348134991119,6
frozenset({'Apple Airpods Headphones'}),"frozenset({'Lightning Charging Cable', 'iPhone'})",0.08686440677966102,0.006002824858757062,0.001059322033898305,0.012195121951219511,2.031563845050215,0.0005378902135401704,1.0062687452047152,0.5560711523588553,6
frozenset({'Lightning Charging Cable'}),"frozenset({'Apple Airpods Headphones', 'iPhone'})",0.11546610169491525,0.0031779661016949155,0.001059322033898305,0.009174311926605505,2.8868501529051986,0.0006923746768170066,1.0060518675455115,0.7389221556886227,6
frozenset({'iPhone'}),"frozenset({'Apple Airpods Headphones', 'Lightning Charging Cable'})",0.042725988700564974,0.0017655367231638418,0.001059322033898305,0.024793388429752063,14.042975206611569,0.0009838877318139743,1.0236133055635355,0.970244682159105,6
"frozenset({'Bose SoundSport Headphones', 'Google Phone'})",frozenset({'USB-C Charging Cable'}),0.0014124293785310734,0.1359463276836158,0.001059322033898305,0.75,5.516883116883117,0.000867307446774554,3.4562146892655368,0.81989627534182,6
"frozenset({'Bose SoundSport Headphones', 'USB-C Charging Cable'})",frozenset({'Google Phone'}),0.0014124293785310734,0.036016949152542374,0.001059322033898305,0.75,20.823529411764707,0.0010084506367901943,3.8559322033898304,0.9533239038189533,6
"frozenset({'Google Phone', 'USB-C Charging Cable'})",frozenset({'Bose SoundSport Headphones'}),0.007415254237288136,0.07168079096045198,0.001059322033898305,0.14285714285714285,1.9929627023223082,0.0005277907449966485,1.083039077212806,0.5019565990750623,6
frozenset({'Bose SoundSport Headphones'}),"frozenset({'Google Phone', 'USB-C Charging Cable'})",0.07168079096045198,0.007415254237288136,0.001059322033898305,0.01477832512315271,1.9929627023223084,0.0005277907449966485,1.0074735169491524,0.5367059718524153,6
frozenset({'Google Phone'}),"frozenset({'Bose SoundSport Headphones', 'USB-C Charging Cable'})",0.036016949152542374,0.0014124293785310734,0.001059322033898305,0.029411764705882353,20.823529411764707,0.0010084506367901943,1.0288478000342407,0.9875457875457874,6
frozenset({'USB-C Charging Cable'}),"frozenset({'Bose SoundSport Headphones', 'Google Phone'})",0.1359463276836158,0.0014124293785310734,0.001059322033898305,0.007792207792207793,5.516883116883117,0.000867307446774554,1.006429881385512,0.9475548290423649,6
